source,target,edge_type
U00150,BB035,LOCATED_AT
U00151,BB016,LOCATED_AT
U00152,H046,LOCATED_AT
U00153,BB001,LOCATED_AT
U00154,BB024,LOCATED_AT
U00155,BB061,LOCATED_AT
U00156,H015,LOCATED_AT
U00157,H047,LOCATED_AT
U00158,H039,LOCATED_AT
U00159,BB047,LOCATED_AT
U00160,H017,LOCATED_AT
U00161,BB096,LOCATED_AT
U00162,H022,LOCATED_AT
U00163,H014,LOCATED_AT
U00164,BB068,LOCATED_AT
U00165,BB041,LOCATED_AT
U00166,BB007,LOCATED_AT
U00167,H010,LOCATED_AT
U00168,H035,LOCATED_AT
U00169,H009,LOCATED_AT
U00170,BB070,LOCATED_AT
U00171,H049,LOCATED_AT
U00172,BB009,LOCATED_AT
U00173,BB017,LOCATED_AT
U00174,BB055,LOCATED_AT
U00175,BB065,LOCATED_AT
U00176,H003,LOCATED_AT
U00177,BB069,LOCATED_AT
U00178,H019,LOCATED_AT
U00179,H024,LOCATED_AT
U00180,BB011,LOCATED_AT
U00181,BB090,LOCATED_AT
U00182,BB022,LOCATED_AT
U00183,H037,LOCATED_AT
U00184,BB055,LOCATED_AT
U00185,H021,LOCATED_AT
U00186,H006,LOCATED_AT
U00187,H030,LOCATED_AT
U00188,H015,LOCATED_AT
U00189,BB025,LOCATED_AT
U00190,H022,LOCATED_AT
U00191,H027,LOCATED_AT
U00192,H023,LOCATED_AT
U00193,BB017,LOCATED_AT
U00194,BB074,LOCATED_AT
U00195,BB086,LOCATED_AT
U00196,BB040,LOCATED_AT
U00197,BB018,LOCATED_AT
U00198,BB058,LOCATED_AT
U00199,BB039,LOCATED_AT
U00200,BB042,LOCATED_AT
U00201,BB035,LOCATED_AT
U00202,BB072,LOCATED_AT
U00203,BB042,LOCATED_AT
U00204,H029,LOCATED_AT
U00205,H012,LOCATED_AT
U00206,H004,LOCATED_AT
U00207,H005,LOCATED_AT
U00208,BB010,LOCATED_AT
U00209,BB087,LOCATED_AT
U00210,BB068,LOCATED_AT
U00211,H026,LOCATED_AT
U00212,H036,LOCATED_AT
U00213,BB096,LOCATED_AT
U00214,BB028,LOCATED_AT
U00215,H029,LOCATED_AT
U00216,BB052,LOCATED_AT
U00217,H040,LOCATED_AT
U00218,BB024,LOCATED_AT
U00219,BB032,LOCATED_AT
U00220,H041,LOCATED_AT
U00221,H012,LOCATED_AT
U00222,BB032,LOCATED_AT
U00223,H017,LOCATED_AT
U00224,H041,LOCATED_AT
U00225,H028,LOCATED_AT
U00226,BB064,LOCATED_AT
U00227,H025,LOCATED_AT
U00228,BB073,LOCATED_AT
U00229,BB030,LOCATED_AT
U00230,BB046,LOCATED_AT
U00231,BB034,LOCATED_AT
U00232,BB041,LOCATED_AT
U00233,H044,LOCATED_AT
U00234,H021,LOCATED_AT
U00235,BB026,LOCATED_AT
U00236,BB040,LOCATED_AT
U00237,BB089,LOCATED_AT
U00238,BB032,LOCATED_AT
U00239,H044,LOCATED_AT
U00240,H028,LOCATED_AT
U00241,BB077,LOCATED_AT
U00242,BB004,LOCATED_AT
U00243,BB036,LOCATED_AT
U00244,H024,LOCATED_AT
U00245,H040,LOCATED_AT
U00246,BB041,LOCATED_AT
U00247,H002,LOCATED_AT
U00248,BB016,LOCATED_AT
U00249,BB030,LOCATED_AT
U00250,H001,LOCATED_AT
U00251,H015,LOCATED_AT
U00252,BB035,LOCATED_AT
U00253,BB094,LOCATED_AT
U00254,H002,LOCATED_AT
U00255,H040,LOCATED_AT
U00256,BB068,LOCATED_AT
U00257,BB026,LOCATED_AT
U00258,H001,LOCATED_AT
U00259,BB088,LOCATED_AT
U00260,BB051,LOCATED_AT
U00261,H001,LOCATED_AT
U00262,H022,LOCATED_AT
U00263,BB054,LOCATED_AT
U00264,BB019,LOCATED_AT
U00265,H031,LOCATED_AT
U00266,H038,LOCATED_AT
U00267,BB055,LOCATED_AT
U00268,BB040,LOCATED_AT
U00269,BB083,LOCATED_AT
U00270,BB077,LOCATED_AT
U00271,BB011,LOCATED_AT
U00272,BB018,LOCATED_AT
U00273,BB043,LOCATED_AT
U00274,H003,LOCATED_AT
U00275,H049,LOCATED_AT
U00276,BB035,LOCATED_AT
U00277,H044,LOCATED_AT
U00278,BB062,LOCATED_AT
U00279,BB067,LOCATED_AT
U00280,H040,LOCATED_AT
U00281,H011,LOCATED_AT
U00282,H037,LOCATED_AT
U00283,BB068,LOCATED_AT
U00284,H042,LOCATED_AT
U00285,H040,LOCATED_AT
U00286,BB064,LOCATED_AT
U00287,BB071,LOCATED_AT
U00288,BB017,LOCATED_AT
U00289,BB040,LOCATED_AT
U00290,H003,LOCATED_AT
U00291,H033,LOCATED_AT
U00292,H012,LOCATED_AT
U00293,H022,LOCATED_AT
U00294,H007,LOCATED_AT
U00295,BB007,LOCATED_AT
U00296,BB039,LOCATED_AT
U00297,BB007,LOCATED_AT
U00298,H047,LOCATED_AT
U00299,H008,LOCATED_AT
U00300,BB003,LOCATED_AT
U00301,BB065,LOCATED_AT
U00302,BB090,LOCATED_AT
U00303,BB026,LOCATED_AT
U00304,BB010,LOCATED_AT
U00305,BB100,LOCATED_AT
U00306,BB005,LOCATED_AT
U00307,BB018,LOCATED_AT
U00308,H038,LOCATED_AT
U00309,H015,LOCATED_AT
U00310,BB046,LOCATED_AT
U00311,H044,LOCATED_AT
U00312,H016,LOCATED_AT
U00313,H011,LOCATED_AT
U00314,H010,LOCATED_AT
U00315,BB008,LOCATED_AT
U00316,H003,LOCATED_AT
U00317,H014,LOCATED_AT
U00318,BB044,LOCATED_AT
U00319,BB075,LOCATED_AT
U00320,H037,LOCATED_AT
U00321,H048,LOCATED_AT
U00322,H047,LOCATED_AT
U00323,H012,LOCATED_AT
U00324,H002,LOCATED_AT
U00325,H050,LOCATED_AT
U00326,H026,LOCATED_AT
U00327,H036,LOCATED_AT
U00328,H009,LOCATED_AT
U00329,BB071,LOCATED_AT
U00330,BB028,LOCATED_AT
U00331,H025,LOCATED_AT
U00332,H005,LOCATED_AT
U00333,BB081,LOCATED_AT
U00334,BB052,LOCATED_AT
U00335,H008,LOCATED_AT
U00336,H016,LOCATED_AT
U00337,BB060,LOCATED_AT
U00338,H019,LOCATED_AT
U00339,H001,LOCATED_AT
U00340,BB035,LOCATED_AT
U00341,H015,LOCATED_AT
U00342,BB028,LOCATED_AT
U00343,H046,LOCATED_AT
U00344,H044,LOCATED_AT
U00345,BB058,LOCATED_AT
U00346,BB056,LOCATED_AT
U00347,BB064,LOCATED_AT
U00348,BB049,LOCATED_AT
U00349,BB043,LOCATED_AT
U00350,BB050,LOCATED_AT
U00351,BB084,LOCATED_AT
U00352,H012,LOCATED_AT
U00353,BB088,LOCATED_AT
U00354,H037,LOCATED_AT
U00355,BB041,LOCATED_AT
U00356,H045,LOCATED_AT
U00357,H009,LOCATED_AT
U00358,H049,LOCATED_AT
U00359,BB060,LOCATED_AT
U00360,H006,LOCATED_AT
U00361,BB089,LOCATED_AT
U00362,BB030,LOCATED_AT
U00363,BB046,LOCATED_AT
U00364,BB043,LOCATED_AT
U00365,H012,LOCATED_AT
U00366,BB006,LOCATED_AT
U00367,BB052,LOCATED_AT
U00368,BB080,LOCATED_AT
U00369,BB066,LOCATED_AT
U00370,BB031,LOCATED_AT
U00371,BB091,LOCATED_AT
U00372,H011,LOCATED_AT
U00373,H001,LOCATED_AT
U00374,H035,LOCATED_AT
U00375,H022,LOCATED_AT
U00376,BB042,LOCATED_AT
U00377,BB005,LOCATED_AT
U00378,H012,LOCATED_AT
U00379,BB062,LOCATED_AT
U00380,BB001,LOCATED_AT
U00381,H019,LOCATED_AT
U00382,H021,LOCATED_AT
U00383,BB053,LOCATED_AT
U00384,BB020,LOCATED_AT
U00385,BB097,LOCATED_AT
U00386,BB082,LOCATED_AT
U00387,H036,LOCATED_AT
U00388,H032,LOCATED_AT
U00389,BB003,LOCATED_AT
U00390,BB022,LOCATED_AT
U00391,H016,LOCATED_AT
U00392,H022,LOCATED_AT
U00393,BB010,LOCATED_AT
U00394,BB039,LOCATED_AT
U00395,BB099,LOCATED_AT
U00396,BB040,LOCATED_AT
U00397,BB040,LOCATED_AT
U00398,BB005,LOCATED_AT
U00399,BB080,LOCATED_AT
U00400,H012,LOCATED_AT
U00401,BB075,LOCATED_AT
U00402,BB020,LOCATED_AT
U00403,H033,LOCATED_AT
U00404,H021,LOCATED_AT
U00405,H008,LOCATED_AT
U00406,BB077,LOCATED_AT
U00407,BB036,LOCATED_AT
U00408,H037,LOCATED_AT
U00409,H015,LOCATED_AT
U00410,H028,LOCATED_AT
U00411,H013,LOCATED_AT
U00412,BB038,LOCATED_AT
U00413,H037,LOCATED_AT
U00414,BB038,LOCATED_AT
U00415,BB010,LOCATED_AT
U00416,H041,LOCATED_AT
U00417,BB084,LOCATED_AT
U00418,BB043,LOCATED_AT
U00419,BB089,LOCATED_AT
U00420,H026,LOCATED_AT
U00421,BB084,LOCATED_AT
U00422,BB066,LOCATED_AT
U00423,BB078,LOCATED_AT
U00424,H001,LOCATED_AT
U00425,BB006,LOCATED_AT
U00426,H005,LOCATED_AT
U00427,H023,LOCATED_AT
U00428,BB079,LOCATED_AT
U00429,BB070,LOCATED_AT
U00430,H040,LOCATED_AT
U00431,H015,LOCATED_AT
U00432,BB091,LOCATED_AT
U00433,BB070,LOCATED_AT
U00434,H050,LOCATED_AT
U00435,BB039,LOCATED_AT
U00436,BB029,LOCATED_AT
U00437,BB056,LOCATED_AT
U00438,BB008,LOCATED_AT
U00439,BB048,LOCATED_AT
U00440,H041,LOCATED_AT
U00441,H019,LOCATED_AT
U00442,H044,LOCATED_AT
U00443,H033,LOCATED_AT
U00444,BB025,LOCATED_AT
U00445,H032,LOCATED_AT
U00446,H043,LOCATED_AT
U00447,H011,LOCATED_AT
U00448,H031,LOCATED_AT
U00449,BB021,LOCATED_AT
U00450,H006,LOCATED_AT
U00451,H024,LOCATED_AT
U00452,BB060,LOCATED_AT
U00453,BB002,LOCATED_AT
U00454,BB072,LOCATED_AT
U00455,H026,LOCATED_AT
U00456,BB048,LOCATED_AT
U00457,H031,LOCATED_AT
U00458,H005,LOCATED_AT
U00459,BB006,LOCATED_AT
U00460,H015,LOCATED_AT
U00461,BB044,LOCATED_AT
U00462,BB085,LOCATED_AT
U00463,BB058,LOCATED_AT
U00464,H049,LOCATED_AT
U00465,H026,LOCATED_AT
U00466,H039,LOCATED_AT
U00467,H026,LOCATED_AT
U00468,H046,LOCATED_AT
U00469,H004,LOCATED_AT
U00470,H038,LOCATED_AT
U00471,H004,LOCATED_AT
U00472,H045,LOCATED_AT
U00473,H002,LOCATED_AT
U00474,BB064,LOCATED_AT
U00475,BB028,LOCATED_AT
U00476,BB085,LOCATED_AT
U00477,BB045,LOCATED_AT
U00478,BB025,LOCATED_AT
U00479,H008,LOCATED_AT
U00480,BB043,LOCATED_AT
U00481,BB081,LOCATED_AT
U00482,BB077,LOCATED_AT
U00483,BB083,LOCATED_AT
U00484,H049,LOCATED_AT
U00485,H050,LOCATED_AT
U00486,H028,LOCATED_AT
U00487,BB043,LOCATED_AT
U00488,BB033,LOCATED_AT
U00489,BB064,LOCATED_AT
U00490,H016,LOCATED_AT
U00491,H033,LOCATED_AT
U00492,H032,LOCATED_AT
U00493,H048,LOCATED_AT
U00494,BB043,LOCATED_AT
U00495,H044,LOCATED_AT
U00496,H040,LOCATED_AT
U00497,BB034,LOCATED_AT
U00498,H023,LOCATED_AT
U00499,BB067,LOCATED_AT
U00500,BB061,LOCATED_AT
U00501,BB058,LOCATED_AT
U00502,BB010,LOCATED_AT
U00503,BB031,LOCATED_AT
U00504,H025,LOCATED_AT
U00505,BB006,LOCATED_AT
U00506,BB071,LOCATED_AT
U00507,H035,LOCATED_AT
U00508,BB098,LOCATED_AT
U00509,H032,LOCATED_AT
U00510,H027,LOCATED_AT
U00511,H029,LOCATED_AT
U00512,H001,LOCATED_AT
U00513,H043,LOCATED_AT
U00514,H034,LOCATED_AT
U00515,BB013,LOCATED_AT
U00516,BB037,LOCATED_AT
U00517,H028,LOCATED_AT
U00518,H011,LOCATED_AT
U00519,BB052,LOCATED_AT
U00520,H015,LOCATED_AT
U00521,BB013,LOCATED_AT
U00522,BB075,LOCATED_AT
U00523,H002,LOCATED_AT
U00524,BB078,LOCATED_AT
U00525,H046,LOCATED_AT
U00526,H034,LOCATED_AT
U00527,BB087,LOCATED_AT
U00528,H033,LOCATED_AT
U00529,BB048,LOCATED_AT
U00530,BB059,LOCATED_AT
U00531,BB040,LOCATED_AT
U00532,H031,LOCATED_AT
U00533,H036,LOCATED_AT
U00534,H046,LOCATED_AT
U00535,H050,LOCATED_AT
U00536,H016,LOCATED_AT
U00537,BB039,LOCATED_AT
U00538,BB022,LOCATED_AT
U00539,BB096,LOCATED_AT
U00540,BB044,LOCATED_AT
U00541,H020,LOCATED_AT
U00542,BB026,LOCATED_AT
U00543,BB084,LOCATED_AT
U00544,BB086,LOCATED_AT
U00545,BB051,LOCATED_AT
U00546,H038,LOCATED_AT
U00547,BB081,LOCATED_AT
U00548,BB100,LOCATED_AT
U00549,BB060,LOCATED_AT
U00550,BB003,LOCATED_AT
U00551,H042,LOCATED_AT
U00552,H007,LOCATED_AT
U00553,H043,LOCATED_AT
U00554,H040,LOCATED_AT
U00555,BB092,LOCATED_AT
U00556,H037,LOCATED_AT
U00557,BB006,LOCATED_AT
U00558,H028,LOCATED_AT
U00559,BB089,LOCATED_AT
U00560,BB011,LOCATED_AT
U00561,H041,LOCATED_AT
U00562,H007,LOCATED_AT
U00563,BB004,LOCATED_AT
U00564,BB028,LOCATED_AT
U00565,H036,LOCATED_AT
U00566,H008,LOCATED_AT
U00567,BB019,LOCATED_AT
U00568,BB071,LOCATED_AT
U00569,H031,LOCATED_AT
U00570,BB085,LOCATED_AT
U00571,H047,LOCATED_AT
U00572,H018,LOCATED_AT
U00573,BB046,LOCATED_AT
U00574,BB006,LOCATED_AT
U00575,BB075,LOCATED_AT
U00576,H024,LOCATED_AT
U00577,H022,LOCATED_AT
U00578,H036,LOCATED_AT
U00579,BB049,LOCATED_AT
U00580,BB098,LOCATED_AT
U00581,H028,LOCATED_AT
U00582,H005,LOCATED_AT
U00583,H045,LOCATED_AT
U00584,BB022,LOCATED_AT
U00585,H011,LOCATED_AT
U00586,BB054,LOCATED_AT
U00587,BB031,LOCATED_AT
U00588,H048,LOCATED_AT
U00589,BB026,LOCATED_AT
U00590,H017,LOCATED_AT
U00591,BB021,LOCATED_AT
U00592,H050,LOCATED_AT
U00593,H001,LOCATED_AT
U00594,BB005,LOCATED_AT
U00595,BB078,LOCATED_AT
U00596,H028,LOCATED_AT
U00597,BB070,LOCATED_AT
U00598,H038,LOCATED_AT
U00599,BB018,LOCATED_AT
U00600,BB073,LOCATED_AT
U00601,H030,LOCATED_AT
U00602,H048,LOCATED_AT
U00603,BB016,LOCATED_AT
U00604,H037,LOCATED_AT
U00605,H050,LOCATED_AT
U00606,BB028,LOCATED_AT
U00607,BB042,LOCATED_AT
U00608,H010,LOCATED_AT
U00609,H005,LOCATED_AT
U00610,BB001,LOCATED_AT
U00611,H018,LOCATED_AT
U00612,H020,LOCATED_AT
U00613,BB077,LOCATED_AT
U00614,BB064,LOCATED_AT
U00615,H034,LOCATED_AT
U00616,H001,LOCATED_AT
U00617,BB076,LOCATED_AT
U00618,BB073,LOCATED_AT
U00619,BB027,LOCATED_AT
U00620,BB029,LOCATED_AT
U00621,H037,LOCATED_AT
U00622,BB011,LOCATED_AT
U00623,BB085,LOCATED_AT
U00624,H014,LOCATED_AT
U00625,BB047,LOCATED_AT
U00626,BB045,LOCATED_AT
U00627,BB070,LOCATED_AT
U00628,H042,LOCATED_AT
U00629,BB087,LOCATED_AT
U00630,BB045,LOCATED_AT
U00631,H034,LOCATED_AT
U00632,H026,LOCATED_AT
U00633,BB046,LOCATED_AT
U00634,BB038,LOCATED_AT
U00635,BB043,LOCATED_AT
U00636,BB009,LOCATED_AT
U00637,BB083,LOCATED_AT
U00638,BB059,LOCATED_AT
U00639,BB062,LOCATED_AT
U00640,H010,LOCATED_AT
U00641,H035,LOCATED_AT
U00642,BB029,LOCATED_AT
U00643,BB027,LOCATED_AT
U00644,H043,LOCATED_AT
U00645,H017,LOCATED_AT
U00646,BB099,LOCATED_AT
U00647,BB025,LOCATED_AT
U00648,H024,LOCATED_AT
U00649,H025,LOCATED_AT
U00650,H018,LOCATED_AT
U00651,H009,LOCATED_AT
U00652,H010,LOCATED_AT
U00653,BB045,LOCATED_AT
U00654,BB020,LOCATED_AT
U00655,H043,LOCATED_AT
U00656,BB004,LOCATED_AT
U00657,BB028,LOCATED_AT
U00658,H047,LOCATED_AT
U00659,BB074,LOCATED_AT
U00660,BB097,LOCATED_AT
U00661,BB044,LOCATED_AT
U00662,BB038,LOCATED_AT
U00663,H003,LOCATED_AT
U00664,BB032,LOCATED_AT
U00665,H037,LOCATED_AT
U00666,H012,LOCATED_AT
U00667,BB047,LOCATED_AT
U00668,H009,LOCATED_AT
U00669,H001,LOCATED_AT
U00670,H040,LOCATED_AT
U00671,H045,LOCATED_AT
U00672,H042,LOCATED_AT
U00673,H019,LOCATED_AT
U00674,H040,LOCATED_AT
U00675,BB018,LOCATED_AT
U00676,H050,LOCATED_AT
U00677,H048,LOCATED_AT
U00678,BB039,LOCATED_AT
U00679,BB004,LOCATED_AT
U00680,H038,LOCATED_AT
U00681,BB005,LOCATED_AT
U00682,H021,LOCATED_AT
U00683,H019,LOCATED_AT
U00684,BB052,LOCATED_AT
U00685,BB038,LOCATED_AT
U00686,BB031,LOCATED_AT
U00687,H006,LOCATED_AT
U00688,BB052,LOCATED_AT
U00689,H023,LOCATED_AT
U00690,BB023,LOCATED_AT
U00691,BB049,LOCATED_AT
U00692,BB049,LOCATED_AT
U00693,H044,LOCATED_AT
U00694,H042,LOCATED_AT
U00695,BB056,LOCATED_AT
U00696,BB074,LOCATED_AT
U00697,BB073,LOCATED_AT
U00698,BB040,LOCATED_AT
U00699,BB098,LOCATED_AT
U00700,H005,LOCATED_AT
U00701,BB075,LOCATED_AT
U00702,H035,LOCATED_AT
U00703,H034,LOCATED_AT
U00704,H024,LOCATED_AT
U00705,BB020,LOCATED_AT
U00706,BB085,LOCATED_AT
U00707,BB004,LOCATED_AT
U00708,BB076,LOCATED_AT
U00709,BB053,LOCATED_AT
U00710,H049,LOCATED_AT
U00711,H023,LOCATED_AT
U00712,H046,LOCATED_AT
U00713,BB068,LOCATED_AT
U00714,H035,LOCATED_AT
U00715,BB046,LOCATED_AT
U00716,H014,LOCATED_AT
U00717,H040,LOCATED_AT
U00718,BB032,LOCATED_AT
U00719,H011,LOCATED_AT
U00720,H049,LOCATED_AT
U00721,BB013,LOCATED_AT
U00722,H018,LOCATED_AT
U00723,H014,LOCATED_AT
U00724,H047,LOCATED_AT
U00725,H017,LOCATED_AT
U00726,BB081,LOCATED_AT
U00727,H033,LOCATED_AT
U00728,H016,LOCATED_AT
U00729,H004,LOCATED_AT
U00730,BB031,LOCATED_AT
U00731,BB039,LOCATED_AT
U00732,H014,LOCATED_AT
U00733,H020,LOCATED_AT
U00734,H018,LOCATED_AT
U00735,H042,LOCATED_AT
U00736,H038,LOCATED_AT
U00737,H013,LOCATED_AT
U00738,H017,LOCATED_AT
U00739,BB064,LOCATED_AT
U00740,BB067,LOCATED_AT
U00741,H035,LOCATED_AT
U00742,BB087,LOCATED_AT
U00743,H050,LOCATED_AT
U00744,H004,LOCATED_AT
U00745,BB030,LOCATED_AT
U00746,H004,LOCATED_AT
U00747,BB038,LOCATED_AT
U00748,BB071,LOCATED_AT
U00749,H037,LOCATED_AT
U00750,BB099,LOCATED_AT
U00751,BB045,LOCATED_AT
U00752,H038,LOCATED_AT
U00753,H022,LOCATED_AT
U00754,H046,LOCATED_AT
U00755,H010,LOCATED_AT
U00756,H002,LOCATED_AT
U00757,H041,LOCATED_AT
U00758,H025,LOCATED_AT
U00759,H042,LOCATED_AT
U00760,BB076,LOCATED_AT
U00761,H011,LOCATED_AT
U00762,BB008,LOCATED_AT
U00763,H037,LOCATED_AT
U00764,BB035,LOCATED_AT
U00765,BB035,LOCATED_AT
U00766,H002,LOCATED_AT
U00767,BB044,LOCATED_AT
U00768,H040,LOCATED_AT
U00769,BB004,LOCATED_AT
U00770,BB051,LOCATED_AT
U00771,H021,LOCATED_AT
U00772,H043,LOCATED_AT
U00773,BB059,LOCATED_AT
U00774,BB043,LOCATED_AT
U00775,H020,LOCATED_AT
U00776,H015,LOCATED_AT
U00777,BB083,LOCATED_AT
U00778,BB099,LOCATED_AT
U00779,H027,LOCATED_AT
U00780,BB097,LOCATED_AT
U00781,BB034,LOCATED_AT
U00782,H015,LOCATED_AT
U00783,H013,LOCATED_AT
U00784,BB085,LOCATED_AT
U00785,H023,LOCATED_AT
U00786,H029,LOCATED_AT
U00787,H045,LOCATED_AT
U00788,BB011,LOCATED_AT
U00789,H039,LOCATED_AT
U00790,BB050,LOCATED_AT
U00791,BB072,LOCATED_AT
U00792,H044,LOCATED_AT
U00793,BB083,LOCATED_AT
U00794,H021,LOCATED_AT
U00795,H048,LOCATED_AT
U00796,BB042,LOCATED_AT
U00797,BB068,LOCATED_AT
U00798,BB022,LOCATED_AT
U00799,BB064,LOCATED_AT
U00800,H026,LOCATED_AT
U00801,H013,LOCATED_AT
U00802,H033,LOCATED_AT
U00803,BB075,LOCATED_AT
U00804,H041,LOCATED_AT
U00805,H022,LOCATED_AT
U00806,BB062,LOCATED_AT
U00807,H043,LOCATED_AT
U00808,BB055,LOCATED_AT
U00809,BB014,LOCATED_AT
U00810,H017,LOCATED_AT
U00811,H005,LOCATED_AT
U00812,H019,LOCATED_AT
U00813,H049,LOCATED_AT
U00814,BB084,LOCATED_AT
U00815,H027,LOCATED_AT
U00816,H012,LOCATED_AT
U00817,H014,LOCATED_AT
U00818,H007,LOCATED_AT
U00819,BB082,LOCATED_AT
U00820,BB054,LOCATED_AT
U00821,H043,LOCATED_AT
U00822,BB016,LOCATED_AT
U00823,H028,LOCATED_AT
U00824,BB070,LOCATED_AT
U00825,BB031,LOCATED_AT
U00826,H043,LOCATED_AT
U00827,BB095,LOCATED_AT
U00828,BB090,LOCATED_AT
U00829,BB068,LOCATED_AT
U00830,BB015,LOCATED_AT
U00831,H033,LOCATED_AT
U00832,BB010,LOCATED_AT
U00833,H025,LOCATED_AT
U00834,H042,LOCATED_AT
U00835,BB019,LOCATED_AT
U00836,H050,LOCATED_AT
U00837,BB094,LOCATED_AT
U00838,H002,LOCATED_AT
U00839,BB057,LOCATED_AT
U00840,H028,LOCATED_AT
U00841,H033,LOCATED_AT
U00842,BB065,LOCATED_AT
U00843,BB018,LOCATED_AT
U00844,H002,LOCATED_AT
U00845,BB097,LOCATED_AT
U00846,H014,LOCATED_AT
