unit_id,blood_type,location_type,location_id,expiry_days_remaining
U00224,A+,hospital,H041,26
U00225,B+,hospital,H028,12
U00226,O+,bloodbank,BB064,35
U00227,O+,hospital,H025,14
U00228,O+,bloodbank,BB073,15
U00229,B+,bloodbank,BB030,9
U00230,A+,bloodbank,BB046,40
U00231,B+,bloodbank,BB034,31
U00232,O+,bloodbank,BB041,19
U00233,O-,hospital,H044,25
U00234,B+,hospital,H021,6
U00235,O+,bloodbank,BB026,29
U00236,B+,bloodbank,BB040,20
U00237,A+,bloodbank,BB089,32
U00238,B+,bloodbank,BB032,23
U00239,O-,hospital,H044,22
U00240,B+,hospital,H028,32
U00241,O+,bloodbank,BB077,8
U00242,A+,bloodbank,BB004,27
U00243,O+,bloodbank,BB036,12
U00244,O+,hospital,H024,37
U00245,A+,hospital,H040,14
U00246,O+,bloodbank,BB041,21
U00247,O+,hospital,H002,29
U00248,B+,bloodbank,BB016,5
U00249,O-,bloodbank,BB030,40
U00250,O+,hospital,H001,4
U00251,A+,hospital,H015,39
U00252,A-,bloodbank,BB035,21
U00253,O+,bloodbank,BB094,36
U00254,B-,hospital,H002,35
U00255,O+,hospital,H040,18
U00256,B+,bloodbank,BB068,28
U00257,B+,bloodbank,BB026,13
U00258,O+,hospital,H001,35
U00259,B+,bloodbank,BB088,2
U00260,A+,bloodbank,BB051,7
U00261,A+,hospital,H001,30
U00262,O+,hospital,H022,28
U00263,B+,bloodbank,BB054,28
U00264,A+,bloodbank,BB019,23
U00265,O+,hospital,H031,37
U00266,A-,hospital,H038,32
U00267,O-,bloodbank,BB055,25
U00268,A+,bloodbank,BB040,27
U00269,A+,bloodbank,BB083,22
U00270,A+,bloodbank,BB077,11
U00271,A+,bloodbank,BB011,42
U00272,B+,bloodbank,BB018,30
U00273,O-,bloodbank,BB043,33
U00274,A+,hospital,H003,13
U00275,O-,hospital,H049,32
U00276,O+,bloodbank,BB035,10
U00277,B+,hospital,H044,29
U00278,O-,bloodbank,BB062,34
U00279,A+,bloodbank,BB067,4
U00280,A+,hospital,H040,5
U00281,B+,hospital,H011,10
U00282,A+,hospital,H037,34
U00283,AB+,bloodbank,BB068,28
U00284,O-,hospital,H042,40
U00285,A+,hospital,H040,12
U00286,A+,bloodbank,BB064,26
U00287,A+,bloodbank,BB071,28
U00288,A+,bloodbank,BB017,35
U00289,B+,bloodbank,BB040,24
U00290,A+,hospital,H003,25
U00291,O+,hospital,H033,15
U00292,O+,hospital,H012,27
U00293,O+,hospital,H022,23
U00294,A+,hospital,H007,3
U00295,A+,bloodbank,BB007,39
U00296,O+,bloodbank,BB039,21
U00297,O+,bloodbank,BB007,17
U00298,A+,hospital,H047,4
U00299,B+,hospital,H008,31
U00300,A+,bloodbank,BB003,3
U00301,O+,bloodbank,BB065,19
U00302,A+,bloodbank,BB090,15
U00303,O+,bloodbank,BB026,24
U00304,B+,bloodbank,BB010,28
U00305,A+,bloodbank,BB100,17
U00306,A+,bloodbank,BB005,5
U00307,A+,bloodbank,BB018,13
U00308,B+,hospital,H038,18
U00309,A+,hospital,H015,29
U00310,B+,bloodbank,BB046,7
U00311,O+,hospital,H044,8
U00312,O+,hospital,H016,15
U00313,B+,hospital,H011,16
U00314,O+,hospital,H010,28
U00315,B+,bloodbank,BB008,24
U00316,O+,hospital,H003,4
U00317,B+,hospital,H014,20
U00318,B+,bloodbank,BB044,4
U00319,O+,bloodbank,BB075,1
U00320,AB+,hospital,H037,26
U00321,B+,hospital,H048,26
U00322,B+,hospital,H047,17
U00323,B+,hospital,H012,21
U00324,B+,hospital,H002,14
U00325,O+,hospital,H050,14
U00326,O+,hospital,H026,31
U00327,B+,hospital,H036,12
U00328,A+,hospital,H009,18
U00329,A+,bloodbank,BB071,25
U00330,B+,bloodbank,BB028,35
U00331,O-,hospital,H025,12
U00332,O+,hospital,H005,9
U00333,A-,bloodbank,BB081,34
U00334,O+,bloodbank,BB052,39
U00335,O+,hospital,H008,15
U00336,B+,hospital,H016,27
U00337,O+,bloodbank,BB060,1
U00338,B+,hospital,H019,1
U00339,B+,hospital,H001,42
U00340,O+,bloodbank,BB035,42
U00341,B+,hospital,H015,9
U00342,B+,bloodbank,BB028,33
U00343,O+,hospital,H046,9
U00344,O+,hospital,H044,1
U00345,A-,bloodbank,BB058,22
U00346,B+,bloodbank,BB056,4
U00347,B+,bloodbank,BB064,25
U00348,O-,bloodbank,BB049,40
U00349,O-,bloodbank,BB043,10
U00350,B+,bloodbank,BB050,41
U00351,B+,bloodbank,BB084,11
U00352,A+,hospital,H012,40
U00353,O+,bloodbank,BB088,27
U00354,O+,hospital,H037,8
U00355,B+,bloodbank,BB041,25
U00356,O+,hospital,H045,18
U00357,A+,hospital,H009,9
U00358,O+,hospital,H049,35
U00359,O-,bloodbank,BB060,14
U00360,B+,hospital,H006,36
U00361,B+,bloodbank,BB089,42
U00362,A+,bloodbank,BB030,25
U00363,A+,bloodbank,BB046,31
U00364,B+,bloodbank,BB043,28
U00365,O+,hospital,H012,1
U00366,O+,bloodbank,BB006,12
U00367,B+,bloodbank,BB052,40
U00368,A+,bloodbank,BB080,20
U00369,O+,bloodbank,BB066,24
U00370,B+,bloodbank,BB031,20
U00371,B+,bloodbank,BB091,41
U00372,O-,hospital,H011,2
U00373,O+,hospital,H001,28
U00374,O+,hospital,H035,24
U00375,A+,hospital,H022,42
U00376,O-,bloodbank,BB042,18
U00377,B+,bloodbank,BB005,23
U00378,O+,hospital,H012,22
U00379,B+,bloodbank,BB062,30
U00380,O+,bloodbank,BB001,12
U00381,B+,hospital,H019,40
U00382,O+,hospital,H021,5
U00383,B+,bloodbank,BB053,42
U00384,B+,bloodbank,BB020,25
U00385,A+,bloodbank,BB097,20
U00386,B+,bloodbank,BB082,28
U00387,O+,hospital,H036,18
U00388,A+,hospital,H032,31
U00389,O-,bloodbank,BB003,18
U00390,B+,bloodbank,BB022,34
U00391,B+,hospital,H016,33
U00392,A+,hospital,H022,11
U00393,O+,bloodbank,BB010,36
U00394,A+,bloodbank,BB039,35
U00395,O+,bloodbank,BB099,40
U00396,O+,bloodbank,BB040,18
U00397,O+,bloodbank,BB040,26
U00398,B+,bloodbank,BB005,31
U00399,A+,bloodbank,BB080,42
U00400,O+,hospital,H012,42
U00401,B+,bloodbank,BB075,2
U00402,O+,bloodbank,BB020,4
U00403,O+,hospital,H033,41
U00404,A+,hospital,H021,42
U00405,B-,hospital,H008,24
U00406,O+,bloodbank,BB077,39
U00407,O-,bloodbank,BB036,35
U00408,O+,hospital,H037,9
U00409,O+,hospital,H015,39
U00410,A+,hospital,H028,15
U00411,B+,hospital,H013,38
U00412,O+,bloodbank,BB038,42
U00413,B+,hospital,H037,7
U00414,O+,bloodbank,BB038,23
U00415,O+,bloodbank,BB010,20
U00416,B+,hospital,H041,10
U00417,A+,bloodbank,BB084,36
U00418,B+,bloodbank,BB043,1
U00419,O+,bloodbank,BB089,22
U00420,O+,hospital,H026,5
U00421,O+,bloodbank,BB084,39
U00422,A+,bloodbank,BB066,35
U00423,O+,bloodbank,BB078,14
U00424,B+,hospital,H001,33
U00425,A+,bloodbank,BB006,25
U00426,B+,hospital,H005,26
U00427,B+,hospital,H023,7
U00428,O+,bloodbank,BB079,34
U00429,B+,bloodbank,BB070,10
U00430,O+,hospital,H040,22
U00431,O+,hospital,H015,15
U00432,A+,bloodbank,BB091,21
U00433,B-,bloodbank,BB070,12
U00434,O+,hospital,H050,36
U00435,B+,bloodbank,BB039,38
U00436,O+,bloodbank,BB029,2
U00437,O+,bloodbank,BB056,25
U00438,B+,bloodbank,BB008,31
U00439,AB+,bloodbank,BB048,2
U00440,O+,hospital,H041,7
U00441,A+,hospital,H019,4
U00442,O+,hospital,H044,4
U00443,O-,hospital,H033,27
U00444,B+,bloodbank,BB025,3
U00445,O+,hospital,H032,3
U00446,B+,hospital,H043,5
U00447,O+,hospital,H011,24
U00448,O+,hospital,H031,27
U00449,O+,bloodbank,BB021,11
U00450,O+,hospital,H006,11
U00451,B+,hospital,H024,8
U00452,A+,bloodbank,BB060,20
U00453,O+,bloodbank,BB002,9
U00454,O+,bloodbank,BB072,2
U00455,A+,hospital,H026,1
U00456,O+,bloodbank,BB048,34
U00457,B+,hospital,H031,11
U00458,A+,hospital,H005,32
U00459,A+,bloodbank,BB006,2
U00460,O-,hospital,H015,5
U00461,A+,bloodbank,BB044,29
U00462,O+,bloodbank,BB085,34
U00463,O+,bloodbank,BB058,33
U00464,B+,hospital,H049,23
U00465,A+,hospital,H026,17
U00466,AB+,hospital,H039,1
U00467,A+,hospital,H026,15
U00468,O+,hospital,H046,10
U00469,O+,hospital,H004,41
U00470,O-,hospital,H038,6
U00471,O-,hospital,H004,40
U00472,B+,hospital,H045,20
U00473,A+,hospital,H002,28
U00474,A+,bloodbank,BB064,23
U00475,O-,bloodbank,BB028,5
U00476,B+,bloodbank,BB085,9
U00477,O+,bloodbank,BB045,5
U00478,O+,bloodbank,BB025,32
U00479,A+,hospital,H008,16
U00480,B+,bloodbank,BB043,27
U00481,A+,bloodbank,BB081,20
U00482,O+,bloodbank,BB077,22
U00483,A+,bloodbank,BB083,30
U00484,A+,hospital,H049,31
U00485,O-,hospital,H050,7
U00486,B-,hospital,H028,34
U00487,B+,bloodbank,BB043,39
U00488,O+,bloodbank,BB033,9
U00489,A+,bloodbank,BB064,29
U00490,A+,hospital,H016,5
U00491,A-,hospital,H033,5
U00492,A+,hospital,H032,9
U00493,B+,hospital,H048,18
U00494,B+,bloodbank,BB043,27
U00495,B+,hospital,H044,18
U00496,B+,hospital,H040,17
U00497,A+,bloodbank,BB034,17
U00498,AB+,hospital,H023,11
U00499,B-,bloodbank,BB067,9
U00500,O+,bloodbank,BB061,38
U00501,B+,bloodbank,BB058,16
U00502,O-,bloodbank,BB010,3
U00503,O+,bloodbank,BB031,17
U00504,O-,hospital,H025,40
U00505,A+,bloodbank,BB006,24
U00506,O+,bloodbank,BB071,15
U00507,A+,hospital,H035,12
U00508,B+,bloodbank,BB098,28
U00509,O+,hospital,H032,6
U00510,O+,hospital,H027,17
U00511,O+,hospital,H029,16
U00512,A+,hospital,H001,4
U00513,B+,hospital,H043,32
U00514,A-,hospital,H034,33
U00515,A+,bloodbank,BB013,35
U00516,O-,bloodbank,BB037,28
U00517,B+,hospital,H028,16
U00518,O-,hospital,H011,11
U00519,O+,bloodbank,BB052,17
U00520,B+,hospital,H015,28
U00521,O+,bloodbank,BB013,1
U00522,A-,bloodbank,BB075,22
U00523,O+,hospital,H002,19
U00524,B+,bloodbank,BB078,3
U00525,B+,hospital,H046,19
U00526,A+,hospital,H034,3
U00527,O-,bloodbank,BB087,28
U00528,B+,hospital,H033,26
U00529,O-,bloodbank,BB048,4
U00530,A+,bloodbank,BB059,32
U00531,A+,bloodbank,BB040,25
U00532,O+,hospital,H031,16
U00533,A+,hospital,H036,37
U00534,A+,hospital,H046,35
U00535,B-,hospital,H050,14
U00536,O+,hospital,H016,31
U00537,O+,bloodbank,BB039,14
U00538,A+,bloodbank,BB022,7
U00539,B+,bloodbank,BB096,17
U00540,B+,bloodbank,BB044,28
U00541,B+,hospital,H020,1
U00542,A+,bloodbank,BB026,23
U00543,O+,bloodbank,BB084,32
U00544,A+,bloodbank,BB086,23
U00545,A+,bloodbank,BB051,5
U00546,O-,hospital,H038,38
U00547,A+,bloodbank,BB081,9
U00548,O+,bloodbank,BB100,13
U00549,O+,bloodbank,BB060,5
U00550,O+,bloodbank,BB003,27
U00551,O+,hospital,H042,29
U00552,AB+,hospital,H007,11
U00553,A+,hospital,H043,42
U00554,B+,hospital,H040,41
U00555,A+,bloodbank,BB092,16
U00556,O+,hospital,H037,32
U00557,A+,bloodbank,BB006,12
U00558,A+,hospital,H028,39
U00559,O+,bloodbank,BB089,32
U00560,O+,bloodbank,BB011,12
U00561,O-,hospital,H041,39
U00562,O+,hospital,H007,18
U00563,B+,bloodbank,BB004,6
U00564,O+,bloodbank,BB028,38
U00565,O+,hospital,H036,24
U00566,A+,hospital,H008,18
U00567,A+,bloodbank,BB019,37
U00568,B+,bloodbank,BB071,39
U00569,A+,hospital,H031,16
U00570,A+,bloodbank,BB085,16
U00571,A+,hospital,H047,28
U00572,O+,hospital,H018,33
U00573,B+,bloodbank,BB046,21
U00574,O-,bloodbank,BB006,39
U00575,A+,bloodbank,BB075,1
U00576,A+,hospital,H024,37
U00577,A-,hospital,H022,4
U00578,A+,hospital,H036,33
U00579,B+,bloodbank,BB049,34
U00580,A+,bloodbank,BB098,26
U00581,B+,hospital,H028,41
U00582,A+,hospital,H005,31
U00583,A+,hospital,H045,16
U00584,A+,bloodbank,BB022,25
U00585,B+,hospital,H011,38
U00586,B+,bloodbank,BB054,30
U00587,O+,bloodbank,BB031,13
U00588,A+,hospital,H048,27
U00589,O+,bloodbank,BB026,10
U00590,O-,hospital,H017,25
U00591,B+,bloodbank,BB021,11
U00592,A+,hospital,H050,23
U00593,O-,hospital,H001,20
U00594,O+,bloodbank,BB005,40
U00595,B+,bloodbank,BB078,29
U00596,A+,hospital,H028,34
U00597,O+,bloodbank,BB070,3
U00598,O-,hospital,H038,12
U00599,B-,bloodbank,BB018,9
U00600,B+,bloodbank,BB073,18
U00601,O+,hospital,H030,2
U00602,B+,hospital,H048,11
U00603,A+,bloodbank,BB016,6
U00604,AB+,hospital,H037,39
U00605,B+,hospital,H050,42
U00606,A+,bloodbank,BB028,42
U00607,B+,bloodbank,BB042,32
U00608,A+,hospital,H010,34
U00609,B+,hospital,H005,11
U00610,O+,bloodbank,BB001,5
U00611,A+,hospital,H018,9
U00612,A+,hospital,H020,26
U00613,B+,bloodbank,BB077,19
U00614,AB+,bloodbank,BB064,37
U00615,A-,hospital,H034,37
U00616,B+,hospital,H001,40
U00617,O+,bloodbank,BB076,1
U00618,B+,bloodbank,BB073,8
U00619,A+,bloodbank,BB027,31
U00620,A+,bloodbank,BB029,19
U00621,O-,hospital,H037,9
U00622,B+,bloodbank,BB011,14
U00623,A-,bloodbank,BB085,24
U00624,A+,hospital,H014,29
U00625,O+,bloodbank,BB047,35
U00626,B+,bloodbank,BB045,33
U00627,O+,bloodbank,BB070,22
U00628,O+,hospital,H042,12
U00629,A+,bloodbank,BB087,18
U00630,O+,bloodbank,BB045,41
U00631,O+,hospital,H034,24
U00632,A+,hospital,H026,36
U00633,A+,bloodbank,BB046,41
U00634,O+,bloodbank,BB038,15
U00635,O-,bloodbank,BB043,25
U00636,O+,bloodbank,BB009,16
U00637,O+,bloodbank,BB083,24
U00638,A+,bloodbank,BB059,22
U00639,O+,bloodbank,BB062,2
U00640,O+,hospital,H010,14
U00641,A+,hospital,H035,14
U00642,B-,bloodbank,BB029,3
U00643,A+,bloodbank,BB027,42
U00644,O+,hospital,H043,10
U00645,A+,hospital,H017,3
U00646,B+,bloodbank,BB099,6
U00647,A+,bloodbank,BB025,3
U00648,O+,hospital,H024,5
U00649,A+,hospital,H025,28
U00650,O+,hospital,H018,32
U00651,O-,hospital,H009,25
U00652,O+,hospital,H010,13
U00653,O-,bloodbank,BB045,37
U00654,O+,bloodbank,BB020,4
U00655,O+,hospital,H043,20
U00656,O+,bloodbank,BB004,30
U00657,O+,bloodbank,BB028,34
U00658,B+,hospital,H047,30
U00659,A+,bloodbank,BB074,3
U00660,B+,bloodbank,BB097,21
U00661,O+,bloodbank,BB044,14
U00662,B+,bloodbank,BB038,6
U00663,A+,hospital,H003,28
U00664,A+,bloodbank,BB032,34
U00665,A+,hospital,H037,2
U00666,B+,hospital,H012,39
U00667,O+,bloodbank,BB047,24
U00668,A+,hospital,H009,35
U00669,O+,hospital,H001,39
U00670,O+,hospital,H040,7
U00671,O+,hospital,H045,12
U00672,B+,hospital,H042,27
U00673,O-,hospital,H019,38
U00674,AB-,hospital,H040,31
U00675,B+,bloodbank,BB018,25
U00676,O+,hospital,H050,31
U00677,A+,hospital,H048,19
U00678,A+,bloodbank,BB039,3
U00679,O+,bloodbank,BB004,2
U00680,B+,hospital,H038,23
U00681,O+,bloodbank,BB005,26
U00682,B+,hospital,H021,30
U00683,A+,hospital,H019,11
U00684,A+,bloodbank,BB052,7
U00685,O-,bloodbank,BB038,40
U00686,B+,bloodbank,BB031,27
U00687,B+,hospital,H006,37
U00688,O+,bloodbank,BB052,37
U00689,AB+,hospital,H023,6
U00690,O-,bloodbank,BB023,7
U00691,A+,bloodbank,BB049,9
U00692,A+,bloodbank,BB049,28
U00693,O+,hospital,H044,19
U00694,O+,hospital,H042,14
U00695,O+,bloodbank,BB056,41
U00696,A+,bloodbank,BB074,31
U00697,O+,bloodbank,BB073,1
U00698,O+,bloodbank,BB040,31
U00699,A+,bloodbank,BB098,29
U00700,B+,hospital,H005,19
U00701,B+,bloodbank,BB075,28
U00702,AB+,hospital,H035,41
U00703,O+,hospital,H034,39
U00704,O+,hospital,H024,8
U00705,O+,bloodbank,BB020,19
U00706,O+,bloodbank,BB085,33
U00707,B+,bloodbank,BB004,22
U00708,O+,bloodbank,BB076,23
U00709,B+,bloodbank,BB053,23
U00710,O+,hospital,H049,1
U00711,A+,hospital,H023,10
U00712,O+,hospital,H046,20
U00713,B+,bloodbank,BB068,19
U00714,B+,hospital,H035,26
U00715,A+,bloodbank,BB046,11
U00716,B+,hospital,H014,28
U00717,B+,hospital,H040,2
U00718,A+,bloodbank,BB032,10
U00719,O-,hospital,H011,41
U00720,A+,hospital,H049,41
U00721,A+,bloodbank,BB013,38
U00722,A+,hospital,H018,37
U00723,O+,hospital,H014,38
U00724,A+,hospital,H047,35
U00725,O-,hospital,H017,1
U00726,A+,bloodbank,BB081,42
U00727,O+,hospital,H033,13
U00728,O+,hospital,H016,5
U00729,O+,hospital,H004,27
U00730,O+,bloodbank,BB031,20
U00731,A+,bloodbank,BB039,31
U00732,A+,hospital,H014,42
U00733,O+,hospital,H020,26
U00734,O+,hospital,H018,36
U00735,B+,hospital,H042,7
U00736,AB+,hospital,H038,33
U00737,AB+,hospital,H013,23
U00738,B+,hospital,H017,25
U00739,B+,bloodbank,BB064,13
U00740,B+,bloodbank,BB067,22
U00741,O+,hospital,H035,13
U00742,O+,bloodbank,BB087,13
U00743,A+,hospital,H050,3
U00744,B+,hospital,H004,17
U00745,O+,bloodbank,BB030,32
U00746,O+,hospital,H004,35
U00747,A+,bloodbank,BB038,6
U00748,A+,bloodbank,BB071,12
U00749,B+,hospital,H037,35
U00750,O-,bloodbank,BB099,6
U00751,O+,bloodbank,BB045,2
U00752,O+,hospital,H038,33
U00753,B+,hospital,H022,27
U00754,B-,hospital,H046,18
U00755,B+,hospital,H010,20
U00756,A+,hospital,H002,35
U00757,O+,hospital,H041,10
U00758,B+,hospital,H025,27
U00759,O-,hospital,H042,21
U00760,B+,bloodbank,BB076,12
U00761,B+,hospital,H011,11
U00762,O-,bloodbank,BB008,41
U00763,B+,hospital,H037,13
U00764,O+,bloodbank,BB035,36
U00765,O+,bloodbank,BB035,2
U00766,B+,hospital,H002,42
U00767,O+,bloodbank,BB044,18
U00768,A+,hospital,H040,28
U00769,O+,bloodbank,BB004,6
U00770,A+,bloodbank,BB051,41
U00771,B+,hospital,H021,40
U00772,B+,hospital,H043,5
U00773,A+,bloodbank,BB059,20
U00774,O+,bloodbank,BB043,37
U00775,O+,hospital,H020,42
U00776,B+,hospital,H015,34
U00777,O+,bloodbank,BB083,20
U00778,A+,bloodbank,BB099,38
U00779,B+,hospital,H027,12
U00780,O+,bloodbank,BB097,8
U00781,A+,bloodbank,BB034,9
U00782,O+,hospital,H015,2
U00783,O+,hospital,H013,37
U00784,A+,bloodbank,BB085,22
U00785,A+,hospital,H023,39
U00786,O+,hospital,H029,13
U00787,A+,hospital,H045,11
U00788,O+,bloodbank,BB011,21
U00789,O+,hospital,H039,20
U00790,B-,bloodbank,BB050,34
U00791,O+,bloodbank,BB072,3
U00792,A+,hospital,H044,24
U00793,A+,bloodbank,BB083,1
